accointance,n
accolade,n
accolades,
accoler,v
accolure (page does not exist),
accommodant,adj
accommodation,n
accommodement,n
accommoder,v
accompagnateur,n
accompagnatrice,n
accompagnement,n
accompagnement au changement (page does not exist),
accompagner,v
accompli,adj
accomplie,
accomplir,v
accomplissement,n
accord,n
accord de principe (page does not exist),
accordage (page does not exist),
accordailles,n
accordance,
d'accord,adv int
accordé,adj
accordéon,n
accordéoniste,n
accorder,v
accorder de manière clémente (page does not exist),
accorder un délai de paiement (page does not exist),
accordeur,n
accortement,adv
accostage,n
accoster,v
accotement,n
accotement non stabilisé,n
accotement stabilisé,n
accoter,v
accotoir,n
accouchement,n
accoucher,v
accoucheur,
accoucheuse,
accouder,v
accoudoir,n
accouplement,
accoupler,
accourcir,v
accourcissement,n
accourir,v
accoutrement,n
accoutrer,v
accoutumance,n
accoutumé,adj
accoutumer,v
Accra,
accréditation,n
accréditer,v
accrétion,n
accro,adj n
accroc,n
accrochage,n
accrochant,
accroché,
accroche-cœur (page does not exist),
accroche-plat (page does not exist),
accrochement (page does not exist),
accrocher,v
accrocheur,adj
accroire,v
accroissement,n
accroître,v
accroupir,v
accu,n
accueil,n
accueillir,v
accul (page does not exist),
acculement (page does not exist),
acculer,v
acculturer,v
accumulateur,n
accumuler,v
accusateur,adj n
accusateuse (page does not exist),
accusatif,n
accusation,n
accusé,
accuser,v
accuser réception (page does not exist),
ace,n
acédie,n
acéphale,adj n
acerbe,adj
acerbité,n
acéré,adj
acère,
acérola,n
acérure (page does not exist),
acescence,n
acescent,
acétal,
acétaldéhyde,
acétate,n
acétifier,
acétimètre,
acétique,adj
acétomètre,
acétone,n
acétose (page does not exist),
acétylation,n
acétylcholine,n
acétylène,n
acétylure,
Achab,proper
Achaïe,proper
achalandé,adj
achalant,
achalanterie (page does not exist),
achalement (page does not exist),
achaler,v
achard,n
acharné,adj
acharnement,n
acharnement thérapeutique,n
acharner,v
achat,n
achats,
ache,
âche (page does not exist),
acheminement,n
acheminer,v
achetable,
acheter,v
acheter chat en poche,v
acheteur,n
acheuléen,adj
achevé,
achevé d’imprimer,n
achèvement,n
achever,v
Achgabat (page does not exist),
Achille,proper
achillée,n
achondroplasie,n
achondroplasique,adj
achoppement,n
achopper,v
Achoura,proper
achromaticité,n
achromatisme,n
acide,adj n
acide abiétique,n
acide acétique,n
acide acétylacétique (page does not exist),
acide acétylsalicylique,n
acide aminé,n
acide arachidonique (page does not exist),
acide arsénique (page does not exist),
acide ascorbique (page does not exist),
acide aspartique (page does not exist),
acide benzoïque,n
acide borique (page does not exist),
acide bromhydrique,n
acide butyrique (page does not exist),
acide carbonique (page does not exist),
acide carboxylique,n
acide chlorhydrique,n
acide chlorique (page does not exist),
acide citrique,n
acide cyanhydrique (page does not exist),
acide désoxyribonucléique,n
acide fluorhydrique,n
acide folique,n
acide gallique,
acide gluconique (page does not exist),
acide glutamique (page does not exist),
acide iodhydrique,n
acide lactique (page does not exist),
acide muriatique,n
acide nitrique,
acide nucléique,
acide oléique (page does not exist),
acide oxalique (page does not exist),
acide palmique (page does not exist),
acide phosphoreux (page does not exist),
acide phosphorique (page does not exist),
acide picrique,
acide prussique (page does not exist),
acide purpurique,
acide ribonucléique,n
acide salicylique (page does not exist),
acide sulfureux (page does not exist),
acide sulfurique,n
acide tartrique,
acide tungstique (page does not exist),
acide urique,n
acide valérique (page does not exist),
acidifiable,
acidification,n
acidifier,v
acidimétrie,
acidité,n
acidose,n
acidulé,adj
acidulée,
aciduler,v
acier,n
acier inoxydable,n
aciérer,v
aciérie,n
acinaciforme,
acinétique,
acinoforme (page does not exist),
ACL,n
aclinique,adj
acné,n
acnéique,
acolyte,n
acompte,n
aconier,
aconit,
aconitine,n
acoquiner,v
acore odorant,
açoréen,
Açoréen,
Açores,proper
açorien,
Açorien,
acotylédone,
acouphène,n
açoura (page does not exist),
acousmatique,adj
acoustique,adj n
acquéreur,n
acquérir,v
acquiescement,n
acquiescer,v
acquis,n
acquisitif,adj
acquisition,n
acquitté,adj
acquittement,n
acquitter,v
acratopège,
acre,n
âcre,adj
acréage (page does not exist),
âcrement,adv
âcreté,n
acrimonie,n
acrimonieusement,adv
acrimonieux,adj
acrobate,n
acrobatie,n
acrobatie aérienne (page does not exist),
acrobaties aériennes (page does not exist),
acrobatique,adj
acrobatiquement,adv
acrocyanose,
acromégalie,n
acromégalique,adj
acronyme,n
acronyme récursif (page does not exist),
acrophobie,n
acrophonie,n
acropole,n
acrostiche,n
acrylamide,
acrylique,adj n
actant,n
acte,n
acte de bravoure (page does not exist),
acte de décès (page does not exist),
acte de foi (page does not exist),
acte de naissance,n
acte de propriété (page does not exist),
acte notarié (page does not exist),
Actes des Apôtres (page does not exist),
acteur,n
acteur X (page does not exist),
actif,adj
actif sous-jacent (page does not exist),
actinium,n
actinométrique,adj
actinomorphe,adj
actinomycine,n
actinoscopie,n
actinothérapie,n
action,n
action collective (page does not exist),
Action de grâce (page does not exist),
Action de grâces (page does not exist),
Action démocratique,proper
Action démocratique du Québec,proper
action en justice (page does not exist),
action légale (page does not exist),
action ou verité (page does not exist),
actionnaire,n
actionnariat,n
actionner,v
activation,
activement,adv
activer,v
activiste,n
activité,n
actrice,n
actrice X (page does not exist),
actu,n
actuaire,n
actualisation,n
actualiser,v
actualité,n
actualités,
actuariel,adj
actuel,adj
actuellement,adv
actus,
acuité,n
aculéate,n
acuponcteur,n
acupuncture,n
acutangle,adj
acyclique,adj
acylglycérol,
ad hoc,
ad nauseam,
adage,n
adagio,adv n
Adam,proper
Adam et Ève (page does not exist),
adamantinome (page does not exist),
Adanet,proper
adaptabilité,n
adaptable,adj
adaptateur,n
adaptateur graphique (page does not exist),
adaptatif,
adaptation,n
adapter,v
addiciel (page does not exist),
addict,
addictif,adj
addictologie,n
addictologue,n
Addis-Ababa (page does not exist),
Addis-Abeba,proper
additif,n adj
additif alimentaire (page does not exist),
addition,n
l'addition, s'il vous plaît (page does not exist),
additionnel,adj
additionner,v
Adélaïde,proper
Adèle,proper
Adélie,proper
Adeline,proper
Aden,
adénine,n
adénome,n
adénomyose (page does not exist),
Adénosine triphosphate (page does not exist),
Adenot,proper
adepte,adj n
adéquat,adj
adéquatement,adv
adéquation,n
adéquiste,n adj
adessif,n
adhan,
Adhémar (page does not exist),
adhérence,n
adhérent,adj n
adhérer,v
adhésif,adj n
adhésion,n
adhésivement,adv
adiaphane,adj
adieu,int n
adieu, monde cruel (page does not exist),
adieux,
Adige,
adipeux,adj
adiposité,n
adja,n
adjacent,
adjectif,adj n
adjectif possessif,n
adjectif verbal (page does not exist),
adjectival,adj
adjectivement,adv
adjoindre,v
adjoint,n
adjointe,n
adjonction,n
adjudant,
adjudant-chef,
adjudicataire,n
adjudicateur,n
adjuger,v
adjurer,v
adjutant,n
ADM,
admettre,v
administrateur,n
administrateur de bases de données,
administrateur systèmes (page does not exist),
administratif,adj
administration,n
administration-séquestre (page does not exist),
administrativement,adv
administré,n
administrer,v
admirablement,adv
admiral,
admirateur,n
admiratif,adj
admiration,n
admirativement,adv
admiratrice,
admirer,v
admissibilité,n
admissible,
admission,n
admit,v
admît,v
admonestation,n
admonester,v
admonition,n
ADN,init
adné,adj
ado,n
adobe,n
adolescence,n
adolescent,adj
adolescente,
Adolphe,proper
adonc,adv
adonide,n
adonner,v
adoptant,
adopté,n
adoptée,n
adopter,v
adoptif,adj
adoption,n
adorable,
adorablement,adv
adorateur,n
adoration,n
adoré,
adorée,
adorer,v
adosser,v
adouber,v
adoucir,v
adoucissement,n
adoucisseur,n
adoucisseur d’eau (page does not exist),
adposition,
ADQ,init
ADQiste (page does not exist),
adrénaline,n
adressage,
adresse,n
adresse de courrier électronique (page does not exist),
adresse IP (page does not exist),
adresser,v
adret,n
Adrien,proper
Adrienne,proper
adroit,adj
adroitement,adv
adualiste,adj
adulateur,n
adulation,
adulatrice,
aduler,v
adulescent,n
adulte,adj n
adultère,adj n
adultérer,v
adultérin,adj
adustion,n
advenir,v
adventice,adj
adventiste,n
adverbe,n
adverbial,
adverbialement,adv
adversaire,n
adversativement,adv
adverse,adj
adversité,n
advienne que pourra,
Adyguée (page does not exist),
AEC,
aèc (page does not exist),
AÈC (page does not exist),
aérateur,n
aération,n
aéré,
aérer,v
aérien,adj
aéro-,prefix
aérobic,n
aérobie,adj
aérobiologie,
aéroclub,n
aérodrome,n
aérodynamique,adj n
aérodyne,n
aérogare,n
aéroglisseur,n
aérogramme,n
aérolite,n
aérolithe,n
aérolithique (page does not exist),
aérologie,n
aéromancie,n
aéromancien,n
aéromodélisme,n
aéronaute,n
aeronautique (page does not exist),
aéronautique,adj
aéronef,n
aéronef à effet de sol (page does not exist),
aérophagie,n
aéroplane,n
aéroport,n
aéroporté,adj
aéroportuaire,adj
aéropostal,adj
aérosol,n
aérospatial,adj
aérostat,n
aérotrain,n
Afar,proper
afar,n adj
affabilité,n
affable,adj
affablement,adv
affabulateur,n
affabulation,n
affabuler,v
affacturage,n
affadir,v
affadissant,adj
affadissement,n
affaibli,
affaiblir,v
affaiblissement,n
affaire,n
affairé,adj
affaire de cœur,n
affairement,n
affairer,v
affaires,n
affaires étrangères,n
affairisme,n
affairiste,n
affaissement,n
affaisser,v
affalé,adj
affaler,v
affamé,adj
affamer,v
affanure (page does not exist),
affectation,
affecté,
affecter,v
affectif,adj
affection,n
affectionnément,adv
affectionner,v
affections sanguines (page does not exist),
affectivement,adv
affectueusement,adv
affectueux,adj
afférent,adj
affermer,v
affermir,v
affetto,adv
affettuoso,adv
affichage,n
affichage à cristaux liquides (page does not exist),
affiche,n
afficher,v
affichette,n
afficheur à cristaux liquides,n
affidavit,
affilé,
d'affilée,adv
affiler,v
affilier,v
affiner,v
affineur,n
affinité,n
affirmatif,adj int
affirmation,
affirmativement,adv
affirmer,v
affixe,n
affixer,v
affixoïde (page does not exist),
affleurement,
affleurer,v
affliction,
affliger,v
affluence,n
affluent,adj n
afflux,n
afflux sanguin (page does not exist),
affolant,adj
affolé,
affolement,n
affoler,v
affranchir,v
affranchissement,n
affres,n
affres de la mort (page does not exist),
affrètement,n
affréter,v
affretter (page does not exist),
affreuse,
affreusement,adv
affreux,adj
affriolant,adj
affront,n
affrontable,adj
affrontement,n
affronter,v
affublement,n
affubler,v
affût,n
affûter,v
affûteuse,
Afghan,
afghan,adj
Afghanistan,
afin,conj
afin de,conj
afin que,conj
africain,adj
Africain,n
africain-américain (page does not exist),
africaine,
Africaine,
africanisme,n
afrikaans,n
Afrikaans,
Afrikaner,
Afrique,proper
Afrique du Nord (page does not exist),
Afrique du Sud,proper
Afrique Équatoriale Française (page does not exist),
Afrique noire,proper
afro-américain,adj
Afro-Américain (page does not exist),
Afro-Américaine (page does not exist),
Afro-Eurasie,proper
afroaméricain (page does not exist),
afront,
afrophobie (page does not exist),
after-dinner,n
-age,suffix
-agogue,
aga,n
agaçant,
agace,n
agacement,n
agacer,v
agalmatophilie (page does not exist),
agate,n
Agathe,proper
age,n
âge,n
âgé,adj
âge adulte,n
âge de pierre (page does not exist),
âge du bronze,
âge du fer,proper
d'âge moyen (page does not exist),
d'âge mûr (page does not exist),
Agée (page does not exist),
agence,n
agence de mariage (page does not exist),
agence de nouvelles (page does not exist),
agence de rencontres,n
agence pour l'emplo (page does not exist),
agencement,n
agencer,v
agenda,n
agenouillé,adj
agenouiller,v
agent,n
agent blanchissant (page does not exist),
agent contractuel (page does not exist),
agent d'entiercement (page does not exist),
agent de sécurité (page does not exist),
agent double (page does not exist),
agent immobilier (page does not exist),
agent provocateur,n
agent publicitaire (page does not exist),
agent secret (page does not exist),
agente provocatrice,n
agglo,n
agglomérat,n
agglomération,n
aggloméré,n
agglomérer,v
agglutinant,adj
aggravant,adj
aggraver,v
aggregation,
aggression,
agha,n
aghori,
agile,adj
agilement,adv
agilité,n
agio,n
agioteur,
agir,v
agissement,n
agitateur,n
agitation,n
agité,
agiter,v
agitprop,n
aglycone,
agnat,n
agnathe,n adj
agnathie (page does not exist),
agneau,n
Agneau de Dieu (page does not exist),
agneau de Pâques (page does not exist),
Agneau Mystique (page does not exist),
agneau pascal (page does not exist),
Agneau Pascal (page does not exist),
agneler,v
agnelet,n
agnelle,n
Agnès,proper
agnosie,n
agnosticisme,n
agnostique,adj n
agonie,n
agonir,v
agonisant,
agoniser,v
agoraphobie,n
agouti,
Âgrâ (page does not exist),
agrafe,n
agrafer,v
agrafeuse,n
agraff,n
agraire,adj
agrammatical,adj
agrandir,v
agrandissement,n
agrandisseur,n
agraphie,n
à la suite de,
agraver (page does not exist),
agréable,adj
agréablement,adv
agréer,v
agrég,n
agrégat,n
agrégateur,n
agrégation,n
agréger,v
agrément,n
agrémenter,v
agrès,n
agresser,v
agresseur,n
agressif,adj
agression,n
agression sexuelle (page does not exist),
agressive,
agressivement,adv
agressivité,n
agricole,adj
agriculteur,n
agriculture,n
Agrigente (page does not exist),
agrile du frêne,n
agripper,v
Agrippine (page does not exist),
agritourisme,n
agro-économique (page does not exist),
agroalimentaire,adj
agronome,n
agronomie,n
agronomique,adj
agrostologie (page does not exist),
agrume,n
Aguascalientes,
aguerri,adj
aguerrir,v
aguet,n
aguichant,adj
aguicher,v
aguicheur,adj
aguille,n
ah,
aha,
ahuri,adj
ahurir,v
ahurissamment,adv
ahurissement,n
-ai,suffix
-aie,suffix
-aient,suffix
-ail,suffix
-aille,suffix
-ain,suffix
-aine,suffix
-aire,suffix
-ais,suffix
-aise,suffix
-aison,suffix
-ait,suffix
aï,n
Aïcha,proper
Aīd al-Kabīr (page does not exist),
Aïd el-Fitr (page does not exist),
Aïd el-Kebir (page does not exist),
aïd moubarak (page does not exist),
Aïda (page does not exist),
aide,n
aide à la personne (page does not exist),
aide de camp (page does not exist),
aide-mémoire,n
aide sociale (page does not exist),
aide-soignant,n
aide-toi, le ciel t'aidera (page does not exist),
aider,v
aïe,int
aïeul,n
aïeule,n
aïeux,n
aigle,n
Aigle (page does not exist),
aigle à tête chauve (page does not exist),
aigle chauve (page does not exist),
aigle royal (page does not exist),
aiglefin,n
aiglet,n
aiglon,n
aiglure (page does not exist),
aigre,adj
aigre-doux,adj
aigrefin,n
aigrelet,adj
aigrement,adv
aigremoine,
aigrette,n
aigreur,n
aigrir,v
